Name,1970,1980,1990,2000,2010
Norway,24.0795,18.7071,16.0265,17.522,16.1124
Portugal,7.6686,10.3033,14.4761,17.7652,11.2858
Sweden,28.0119,21.5797,19.716,17.2821,15.7835
Albania,2.7763,5.4761,5.6336,1.5014,1.5206
Bulgaria,34.1944,37.8747,29.2206,12.9522,11.4093
Bosnia and Herzegovina,19.2157,15.0919,24.827,10.3751,14.1674
Cyprus,0.7475,0.9821,1.806,2.2873,1.469
Estonia,18.7927,20.9861,16.5215,2.5482,2.0419
Croatia,11.4851,10.4823,9.0502,6.0846,6.1705
Lithuania,10.0668,13.0723,11.7466,2.518,3.102
Latvia,6.4119,8.065,7.0211,1.9963,2.51
North Macedonia,4.6635,5.1047,6.9996,6.065,6.3686
Malta,0.3121,0.5286,0.9696,1.0285,1.0952
Romania,40.6572,58.0058,49.0485,24.0053,21.2893
Serbia and Montenegro,20.916,28.7314,33.1157,30.4424,29.8298
Slovakia,40.834,55.8232,45.1569,14.2542,9.6041
Slovenia,4.6968,5.5138,8.1525,3.6271,2.891
Belarus,27.6133,34.1001,29.7136,13.6679,12.9373
Moldova,8.8885,11.1959,9.1612,1.0437,1.6256
Kyrgyzstan,16.5204,25.8525,18.7135,2.9068,2.1893
Tajikistan,6.6605,8.1626,6.9145,0.5659,1.6077
Turkmenistan,4.8787,6.2344,5.0494,1.812,2.7157
Uzbekistan,24.7481,20.8531,17.7687,8.5954,7.6612
Armenia,4.8621,6.326,5.3265,0.264,0.2953
Azerbaijan,3.9865,5.627,4.5961,2.9506,1.9669
Georgia,10.4252,12.5848,9.0218,0.9478,1.0573
United Arab Emirates,0.7417,4.9367,10.0224,10.4432,19.6677
Bahrain,0.104,0.4914,1.0605,1.5834,2.2709
Iraq,2.3601,8.8366,16.762,14.5907,18.6159
Israel,3.1791,4.8276,12.5431,16.3675,21.611
Jordan,0.4926,1.3492,2.5077,3.4347,3.1341
Kuwait,1.0166,3.8265,2.6739,4.3075,7.3091
Lebanon,1.2587,1.3604,1.0451,3.3646,4.6415
Oman,0.1212,0.2569,1.2311,2.2399,6.8588
Qatar,0.2366,0.9121,1.0676,2.004,5.0807
Saudi Arabia,2.5528,22.7001,24.7838,34.1211,55.2786
Syria,1.5452,3.5047,5.5498,6.5827,7.1563
Yemen,0.4305,1.2775,1.9214,2.5898,2.8953
Afghanistan,1.1321,1.6221,1.2778,1.847,5.0606
Bangladesh,10.9425,14.0113,16.8079,22.0555,36.7241
Bhutan,0.4453,0.1555,0.2224,0.2961,0.5316
Sri Lanka,2.2959,3.1904,3.4763,6.5692,7.7378
Nepal,1.2,1.6537,2.0327,3.9431,5.0477
Pakistan,12.3832,16.194,33.9264,48.5049,68.6758
Hong Kong,4.4494,4.2123,67.1795,51.393,61.6875
Mongolia,1.2439,12.2516,17.2288,9.9768,15.51
Brunei,0.1481,0.3949,0.5695,0.7238,0.8286
Cambodia,2.5099,1.8067,2.4922,4.3448,7.1712
PDR of Laos,1.5971,1.1782,1.126,1.6026,3.2825
Myanmar,6.8593,7.4395,6.3475,11.4858,15.3833
Malaysia,7.4265,11.3243,24.0621,38.984,41.2698
Philippines,14.7754,19.6774,35.1066,59.1145,50.1606
Singapore,4.2404,7.1461,11.0592,18.005,15.018
Papua New Guinea,0.8214,0.7315,0.8557,1.3811,3.1531
Fiji,0.2123,0.5833,0.35,0.4221,1.0299
New Caledonia,0.1558,0.5507,0.2184,0.5538,0.8217
New Zealand,11.7514,11.6413,9.5986,9.1022,8.0977
Int. Aviation,10.8029,12.9022,16.5259,22.6809,29.5126
